date,symbol,quantity,market_price
2015-11-11 00:00:00,000680.SZ,6700.0,7.3156
2015-11-11 00:00:00,000919.SZ,3000.0,14.6826
2015-11-11 00:00:00,002396.SZ,2800.0,16.665
2015-11-16 00:00:00,000968.SZ,6000.0,7.3693
2015-11-16 00:00:00,002685.SZ,4500.0,10.5821
2015-11-18 00:00:00,300210.SZ,4700.0,9.5105
2015-11-18 00:00:00,300402.SZ,2700.0,17.7391
2015-11-20 00:00:00,000507.SZ,6200.0,7.3377
2015-11-20 00:00:00,000525.SZ,3100.0,14.8704
2015-12-04 00:00:00,002463.SZ,8700.0,5.4798
2015-12-04 00:00:00,002490.SZ,4400.0,10.15
2015-12-04 00:00:00,002648.SZ,13800.0,3.1749
2015-12-04 00:00:00,300255.SZ,4500.0,10.3538
2015-12-11 00:00:00,600246.SH,8000.0,5.7131
2015-12-11 00:00:00,601579.SH,4000.0,11.1085
2015-12-18 00:00:00,002486.SZ,7300.0,6.5905
2015-12-21 00:00:00,600545.SH,1700.0,11.1598
2015-12-21 00:00:00,600894.SH,3500.0,13.4299
2015-12-21 00:00:00,601633.SH,4500.0,9.9358
2016-01-12 00:00:00,600965.SH,3800.0,11.224
2016-01-27 00:00:00,002204.SZ,6300.0,3.1343
2016-01-27 00:00:00,603609.SH,2100.0,9.1693
2016-01-28 00:00:00,002546.SZ,7100.0,6.5873
2016-01-29 00:00:00,002535.SZ,2900.0,6.8377
2016-01-29 00:00:00,600084.SH,4100.0,4.85
2016-01-29 00:00:00,603000.SH,1400.0,13.7869
2016-03-01 00:00:00,002200.SZ,2700.0,16.9063
2016-03-02 00:00:00,600241.SH,3500.0,13.0139
2016-03-24 00:00:00,000955.SZ,5700.0,8.39
2016-03-24 00:00:00,002035.SZ,8900.0,5.2968
2016-03-24 00:00:00,002165.SZ,6600.0,6.5633
2016-03-24 00:00:00,002748.SZ,3100.0,14.1912
2016-03-24 00:00:00,300083.SZ,5700.0,8.6801
2016-06-03 00:00:00,002735.SZ,3900.0,11.9861
2016-06-06 00:00:00,600250.SH,3500.0,13.15
